Vehicle Stock Register — as on date

Chassis No,Engine No,Model Code,Model,Variant,Colour,Stock Status,Allocated Deal,Cost Value,Financed,Interest %,Received Date,Allocated Date,Invoiced Date
MBLKAR0921NK65018,VD12ERNHK65018,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Techno Blue,IN_STOCK,,"₹ 72,027.00",N,9.85,23/07/2026,,
MBLKAR0921NK65019,PA33ERNHK65019,HER-GLM-125,Glamour 125,Glamour 125,Glaze Black,IN_STOCK,,"₹ 81,536.00",Y,,29/06/2026,,
MBLKAR0921NK65020,PA33ERNHK65020,HER-PSN-PLUS,Passion Plus,Passion Plus,Sports Red,ALLOCATED,,"₹ 75,712.00",Y,9.85,16/07/2026,17/07/2026,
MBLKAR0921NK65022,KA21ERNHK65022,HER-HFD-100,HF Deluxe,HF Deluxe,Glaze Black,IN_STOCK,,"₹ 55,874.00",Y,,24/02/2026,,
MBLKAR0921NK65029,HA11ERNHK65029,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,IN_STOCK,,"₹ 72,027.00",Y,9.85,14/07/2026,,
MBLKAR0921NK65032,KA21ERNHK65032,HER-HFD-100,HF Deluxe,HF Deluxe,Sports Red,IN_STOCK,,"₹ 55,874.00",Y,9.85,20/04/2026,,
MBLKAR0921NK65034,PA33ERNHK65034,HER-VIDA-V2,Vida V2 Plus,Vida V2 Plus,Heavy Grey Green,IN_STOCK,,"₹ 1,20,575.00",Y,9.85,10/05/2026,,
MBLKAR0921NK65038,HA11ERNHK65038,HER-HFD-100,HF Deluxe,HF Deluxe,Black with Purple,IN_STOCK,,"₹ 55,874.00",Y,9.85,01/07/2026,,
MBLKAR0921NK65042,PA33ERNHK65042,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Glaze Black,ALLOCATED,,"₹ 95,368.00",Y,,01/08/2026,05/08/2026,
MBLKAR0921NK65044,PA33ERNHK65044,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Nexus Blue,IN_STOCK,,"₹ 95,368.00",Y,9.85,28/07/2026,,
MBLKAR0921NK65046,VD12ERNHK65046,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,IN_STOCK,,"₹ 72,027.00",Y,,28/07/2026,,
MBLKAR0921NK65047,KA21ERNHK65047,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Candy Blazing Red,IN_STOCK,,"₹ 95,368.00",N,9.85,22/07/2026,,
MBLKAR0921NK65049,KA21ERNHK65049,HER-DST-125,Destini 125,Destini 125,Techno Blue,IN_STOCK,,"₹ 76,713.00",Y,,03/07/2026,,
MBLKAR0921NK65050,VD12ERNHK65050,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Black with Purple,ALLOCATED,,"₹ 95,368.00",Y,9.85,23/07/2026,25/07/2026,
MBLPAS0633NK65006,PA33ERNHK65006,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Nexus Blue,IN_STOCK,,"₹ 72,027.00",Y,,01/06/2026,,
MBLPAS0633NK65007,KA21ERNHK65007,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Sports Red,IN_STOCK,,"₹ 72,027.00",Y,9.85,17/07/2026,,
MBLPAS0633NK65012,HA11ERNHK65012,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,ALLOCATED,,"₹ 72,027.00",N,9.85,28/07/2026,02/08/2026,
MBLPAS0633NK65013,HA11ERNHK65013,HER-HFD-100,HF Deluxe,HF Deluxe,Matte Axis Grey,IN_STOCK,,"₹ 55,874.00",N,,08/02/2026,,
MBLPAS0633NK65017,PA33ERNHK65017,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,IN_STOCK,,"₹ 72,027.00",Y,9.85,16/07/2026,,
MBLPAS0633NK65019,HA11ERNHK65019,HER-HFD-100,HF Deluxe,HF Deluxe,Techno Blue,ALLOCATED,,"₹ 55,874.00",Y,9.85,18/07/2026,21/07/2026,
MBLPAS0633NK65022,PA33ERNHK65022,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Matte Axis Grey,IN_STOCK,,"₹ 95,368.00",Y,,29/06/2026,,
MBLPAS0633NK65024,HA11ERNHK65024,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,IN_STOCK,,"₹ 72,027.00",Y,9.85,27/06/2026,,
MBLPAS0633NK65025,KA21ERNHK65025,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Techno Blue,ALLOCATED,,"₹ 72,027.00",N,9.85,04/07/2026,10/07/2026,
MBLPAS0633NK65027,VD12ERNHK65027,HER-HFD-100,HF Deluxe,HF Deluxe,Nexus Blue,IN_STOCK,,"₹ 55,874.00",Y,9.85,22/06/2026,,
MBLPAS0633NK65035,PA33ERNHK65035,HER-XTR-125R,Xtreme 125R,Xtreme 125R,Techno Blue,IN_STOCK,,"₹ 95,368.00",N,9.85,03/07/2026,,
MBLPAS0633NK65037,VD12ERNHK65037,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Heavy Grey Green,IN_STOCK,,"₹ 72,027.00",Y,,25/07/2026,,
MBLPAS0633NK65040,HA11ERNHK65040,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Nexus Blue,IN_STOCK,,"₹ 72,027.00",N,9.85,21/07/2026,,
MBLPAS0633NK65043,HA11ERNHK65043,HER-HFD-100,HF Deluxe,HF Deluxe,Candy Blazing Red,IN_STOCK,,"₹ 55,874.00",Y,9.85,27/01/2026,,
MBLPAS0633NK65048,KA21ERNHK65048,HER-HFD-100,HF Deluxe,HF Deluxe,Heavy Grey Green,IN_STOCK,,"₹ 55,874.00",Y,9.85,31/05/2026,,
MBLPAS0633NK65051,HA11ERNHK65051,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Techno Blue,ALLOCATED,,"₹ 72,027.00",N,,26/07/2026,27/07/2026,
MBLVID0912NK65001,HA11ERNHK65001,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Glaze Black,IN_STOCK,,"₹ 72,027.00",N,9.85,15/05/2026,,
MBLVID0912NK65002,PA33ERNHK65002,HER-HFD-100,HF Deluxe,HF Deluxe,Black with Purple,IN_STOCK,,"₹ 55,874.00",Y,,30/04/2026,,
MBLVID0912NK65004,VD12ERNHK65004,VID-V2-PLUS,Vida V2 Plus,Vida V2 Plus,Heavy Grey Green,IN_STOCK,,"₹ 1,20,575.00",Y,9.85,23/07/2026,,
MBLVID0912NK65005,PA33ERNHK65005,HER-HFD-100,HF Deluxe,HF Deluxe,Matte Axis Grey,IN_STOCK,,"₹ 55,874.00",Y,9.85,24/04/2026,,
MBLVID0912NK65009,KA21ERNHK65009,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Sports Red,IN_STOCK,,"₹ 72,027.00",Y,9.85,06/07/2026,,
MBLVID0912NK65010,HA11ERNHK65010,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Techno Blue,IN_STOCK,,"₹ 72,027.00",Y,,25/07/2026,,
MBLVID0912NK65016,HA11ERNHK65016,HER-HFD-100,HF Deluxe,HF Deluxe,Nexus Blue,ALLOCATED,,"₹ 55,874.00",Y,9.85,30/07/2026,05/08/2026,
MBLVID0912NK65018,HA11ERNHK65018,HER-HFD-100,HF Deluxe,HF Deluxe,Techno Blue,IN_STOCK,,"₹ 55,874.00",Y,9.85,30/07/2026,,
MBLVID0912NK65021,PA33ERNHK65021,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Heavy Grey Green,IN_STOCK,,"₹ 72,027.00",Y,9.85,26/07/2026,,
MBLVID0912NK65023,KA21ERNHK65023,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Candy Blazing Red,IN_STOCK,,"₹ 72,027.00",Y,9.85,27/06/2026,,
MBLVID0912NK65025,HA11ERNHK65025,HER-HFD-100,HF Deluxe,HF Deluxe,Nexus Blue,IN_STOCK,,"₹ 55,874.00",Y,9.85,04/07/2026,,
MBLVID0912NK65026,KA21ERNHK65026,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,IN_STOCK,,"₹ 72,027.00",Y,9.85,27/05/2026,,
MBLVID0912NK65028,KA21ERNHK65028,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Nexus Blue,IN_STOCK,,"₹ 72,027.00",N,9.85,23/06/2026,,
MBLVID0912NK65032,VD12ERNHK65032,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Heavy Grey Green,ALLOCATED,,"₹ 72,027.00",N,9.85,30/07/2026,05/08/2026,
MBLVID0912NK65033,HA11ERNHK65033,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Nexus Blue,IN_STOCK,,"₹ 72,027.00",Y,9.85,02/06/2026,,
MBLVID0912NK65037,VD12ERNHK65037,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,IN_STOCK,,"₹ 72,027.00",Y,,01/05/2026,,
MBLVID0912NK65039,HA11ERNHK65039,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Matte Axis Grey,IN_STOCK,,"₹ 72,027.00",Y,9.85,06/07/2026,,
MBLVID0912NK65040,PA33ERNHK65040,HER-PSN-PLUS,Passion Plus,Passion Plus,Candy Blazing Red,IN_STOCK,,"₹ 75,712.00",Y,9.85,02/06/2026,,
MBLVID0912NK65041,HA11ERNHK65041,HER-DST-125,Destini 125,Destini 125,Matte Axis Grey,IN_STOCK,,"₹ 76,713.00",N,9.85,18/05/2026,,
MBLVID0912NK65042,VD12ERNHK65042,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Black with Purple,IN_STOCK,,"₹ 72,027.00",Y,9.85,28/07/2026,,
MBLVID0912NK65044,VD12ERNHK65044,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Sports Red,ALLOCATED,,"₹ 72,027.00",Y,9.85,05/07/2026,06/07/2026,
MBLVID0912NK65045,PA33ERNHK65045,HER-HFD-100,HF Deluxe,HF Deluxe,Black with Purple,IN_STOCK,,"₹ 55,874.00",Y,9.85,09/05/2026,,
MBLVID0912NK65046,VD12ERNHK65046,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Heavy Grey Green,IN_STOCK,,"₹ 72,027.00",Y,,18/07/2026,,
MBLVID0912NK65047,PA33ERNHK65047,HER-GLM-125,Glamour 125,Glamour 125,Black with Purple,IN_STOCK,,"₹ 81,536.00",Y,,10/07/2026,,
MBLVID0912NK65048,HA11ERNHK65048,HER-SPL-PLUS,Splendor Plus,Splendor Plus,Candy Blazing Red,ALLOCATED,,"₹ 72,027.00",Y,,31/12/2025,09/01/2026,
NET-CH-0001,NET-EN-0001,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0002,NET-EN-0002,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0003,NET-EN-0003,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0004,NET-EN-0004,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0005,NET-EN-0005,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0006,NET-EN-0006,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0007,NET-EN-0007,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0008,NET-EN-0008,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,02/09/2026,,
NET-CH-0009,NET-EN-0009,HER-HFD-100,HF Deluxe,,,IN_STOCK,,"₹ 49,200.00",,,02/09/2026,,
NET-CH-0010,NET-EN-0010,HER-HFD-100,HF Deluxe,,,IN_STOCK,,"₹ 49,200.00",,,02/09/2026,,
NET-CH-0011,NET-EN-0011,HER-HFD-100,HF Deluxe,,,IN_STOCK,,"₹ 49,200.00",,,02/09/2026,,
NET-CH-0012,NET-EN-0012,HER-HFD-100,HF Deluxe,,,IN_STOCK,,"₹ 49,200.00",,,02/09/2026,,
NET-CH-0013,NET-EN-0013,HER-HFD-100,HF Deluxe,,,IN_STOCK,,"₹ 49,200.00",,,02/09/2026,,
NET-CH-0014,NET-EN-0014,HER-HFD-100,HF Deluxe,,,IN_STOCK,,"₹ 49,200.00",,,02/09/2026,,
NET-CH-0015,NET-EN-0015,HER-DST-125,Destini 125,,,IN_STOCK,,"₹ 66,400.00",,,02/09/2026,,
NET-CH-0016,NET-EN-0016,HER-DST-125,Destini 125,,,IN_STOCK,,"₹ 66,400.00",,,02/09/2026,,
NET-CH-0017,NET-EN-0017,HER-DST-125,Destini 125,,,IN_STOCK,,"₹ 66,400.00",,,02/09/2026,,
NET-CH-0018,NET-EN-0018,HER-DST-125,Destini 125,,,IN_STOCK,,"₹ 66,400.00",,,02/09/2026,,
NET-CH-0019,NET-EN-0019,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,05/10/2026,,
NET-CH-0020,NET-EN-0020,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,05/10/2026,,
NET-CH-0021,NET-EN-0021,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,05/10/2026,,
NET-CH-0022,NET-EN-0022,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,05/10/2026,,
NET-CH-0023,NET-EN-0023,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,05/10/2026,,
NET-CH-0024,NET-EN-0024,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,05/10/2026,,
NET-CH-0025,NET-EN-0025,HER-XTR-125R,Xtreme 125R,,,IN_STOCK,,"₹ 83,100.00",,,05/10/2026,,
NET-CH-0026,NET-EN-0026,HER-XTR-125R,Xtreme 125R,,,IN_STOCK,,"₹ 83,100.00",,,05/10/2026,,
NET-CH-0027,NET-EN-0027,HER-XTR-125R,Xtreme 125R,,,IN_STOCK,,"₹ 83,100.00",,,05/10/2026,,
NET-CH-0028,NET-EN-0028,HER-XTR-125R,Xtreme 125R,,,IN_STOCK,,"₹ 83,100.00",,,05/10/2026,,
NET-CH-0029,NET-EN-0029,VID-V2-PLUS,Vida V2 Plus,,,IN_STOCK,,"₹ 1,08,900.00",,,05/10/2026,,
NET-CH-0030,NET-EN-0030,VID-V2-PLUS,Vida V2 Plus,,,IN_STOCK,,"₹ 1,08,900.00",,,05/10/2026,,
NET-CH-0031,NET-EN-0031,VID-V2-PLUS,Vida V2 Plus,,,IN_STOCK,,"₹ 1,08,900.00",,,05/10/2026,,
NET-CH-0032,NET-EN-0032,HER-MAV-440,Mavrick 440,,,IN_STOCK,,"₹ 1,52,000.00",,,05/10/2026,,
NET-CH-0033,NET-EN-0033,HER-MAV-440,Mavrick 440,,,IN_STOCK,,"₹ 1,52,000.00",,,05/10/2026,,
NET-CH-0034,NET-EN-0034,HER-MAV-440,Mavrick 440,,,IN_STOCK,,"₹ 1,52,000.00",,,05/10/2026,,
NET-CH-0035,NET-EN-0035,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,03/11/2026,,
NET-CH-0036,NET-EN-0036,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,03/11/2026,,
NET-CH-0037,NET-EN-0037,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,03/11/2026,,
NET-CH-0038,NET-EN-0038,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,03/11/2026,,
NET-CH-0039,NET-EN-0039,HER-SPL-PLUS,Splendor Plus,,,IN_STOCK,,"₹ 62,500.00",,,03/11/2026,,
NET-CH-0040,NET-EN-0040,HER-XPL-200,Xpulse 200 4V,,,IN_STOCK,,"₹ 1,24,600.00",,,03/11/2026,,
NET-CH-0041,NET-EN-0041,HER-XPL-200,Xpulse 200 4V,,,IN_STOCK,,"₹ 1,24,600.00",,,03/11/2026,,
NET-CH-0042,NET-EN-0042,HER-XPL-200,Xpulse 200 4V,,,IN_STOCK,,"₹ 1,24,600.00",,,03/11/2026,,
NET-CH-0043,NET-EN-0043,HER-KRZ-210,Karizma XMR 210,,,IN_STOCK,,"₹ 1,46,800.00",,,03/11/2026,,
NET-CH-0044,NET-EN-0044,HER-KRZ-210,Karizma XMR 210,,,IN_STOCK,,"₹ 1,46,800.00",,,03/11/2026,,
Total,,,141 units,,,,,,,,,,
